ident,latitude_deg,longitude_deg,term
CCP6,54.8378,-69.8928,
CYYD,54.8247,-127.183,
CYKL,54.8053,-66.8053,
UIIV,54.8,105.15,
CYWM,54.7431,-113.205,
UHPM,54.6806,158.5485,
CEM5,54.6708,-115.415,
CJS8,54.55,-94.4667,
CZJG,54.5189,-98.0461,
CEN5,54.4775,-110.269,
CKF4,54.4167,-109.233,
CYOD,54.405,-110.279,
CYJM,54.3972,-124.263,
CED4,54.38,-116.766,
CKL6,54.2919,-104.671,
CYPR,54.2861,-130.445,
CKJ8,54.2581,-97.0111,
EDXH,54.1853,7.9158,
CYLJ,54.1253,-108.523,
UWPS,54.1251,45.2123,
CYQD,53.9714,-101.091,
CNE3,53.9656,-91.0272,
CJT4,53.9561,-102.298,
UMOO,53.9549,30.0951,
CYIV,53.8572,-94.6536,
CBA8,53.8556,-122.908,
CKB6,53.8492,-89.5794,
CKX8,53.8361,-107.009,
CSU2,53.8056,-78.9169,
CYGL,53.6253,-77.7042,
CJT9,53.6206,-107.609,
EIAB,53.5917,-7.6456,
CYET,53.5789,-116.465,
CKH3,53.5319,-106.884,
CYAQ,53.5247,-88.6428,
CJK2,53.52,-96.3711,
CEV3,53.5144,-112.027,
CKU3,53.4,-104.017,
USCM,53.3931,58.7557,
CJE5,53.3772,-108.342,
UNBB,53.3638,83.5385,
CKH7,53.3633,-107.548,
CYBU,53.3325,-104.008,
CYZP,53.2543,-131.814,
EICL,53.2497,-7.1227,
EICA,53.2303,-9.4678,
EHLW,53.2286,5.7606,
CJZ4,53.2283,-106.363,
CYPA,53.2142,-105.673,
UAUU,53.2069,63.5503,
CJU7,53.185,-108.789,
CJV8,53.1725,-99.3231,
UWPP,53.1106,45.0211,
EIBR,53.0706,-7.8983,
CZSJ,53.0642,-93.3444,
CEQ3,53.0403,-112.816,
CFF9,53.0314,-112.778,
CYQZ,53.0261,-122.51,
EGXY,53.0228,-0.9111,
CJH8,53.0167,-106.75,
CNM5,53.0125,-89.8553,
CJD3,52.9908,-105.445,
CEX3,52.965,-113.411,
CYWK,52.9219,-66.8644,
CFU8,52.9122,-111.174,
CFR2,52.9,-112.55,
EIHN,52.855,-6.5472,
CJV2,52.8314,-109.64,
CJV7,52.7086,-88.5419,
UUOL,52.7028,39.5378,
CJZ7,52.6667,-94.4167,
EIKK,52.6508,-7.2961,
CKK2,52.65,-104.867,
CEA5,52.6469,-111.384,
CKD2,52.6197,-103.248,
CCP4,52.5281,-56.2861,
UMGG,52.527,31.0167,
CEG3,52.4883,-113.712,
CJD2,52.4833,-105.717,
CJL9,52.4631,-107.377,
CJR9,52.4114,-104.484,
CEH6,52.3381,-110.279,
CEJ3,52.31,-112.754,
CFB3,52.3,-114.464,
UASP,52.195,77.0739,
CJU4,52.1761,-105.127,
CYXE,52.1708,-106.7,
CYPU,52.1128,-124.145,
CKE2,52.0667,-104.267,
CJF8,52.0511,-107.988,
CJK9,51.95,-102.65,
CKS7,51.9294,-103.8338,
CJP2,51.9269,-109.129,
EGBJ,51.8942,-2.1672,
CSF3,51.8886,-65.715,
CFK6,51.85,-114.067,
CKC6,51.8453,-104.992,
EGFE,51.8331,-4.9611,
UUOO,51.8142,39.2296,
UWOO,51.7958,55.4567,
CFN7,51.7742,-114.677,
CFZ5,51.7398,-114.6626,
CZML,51.7361,-121.333,
CJT2,51.7322,-96.9344,
CEN3,51.6967,-113.209,
CAV3,51.6425,-121.307,
CKJ4,51.6242,-106.442,
CKQ9,51.62,-96.8108,
CPS5,51.6044,-88.5822,
UASB,51.591,75.215,
CGB2,51.5828,-114.052,
CJN2,51.5597,-101.879,
CEG4,51.4964,-112.749,
UHBS,51.455,128.0983,
CBG2,51.4294,-121.21,
CKU5,51.35,-105.4,
CED3,51.3342,-110.491,
EGKB,51.3308,0.0325,
CKX5,51.3306,-107.438,
CYMO,51.2911,-80.6078,
CFC6,51.2667,-113.117,
CYQV,51.2647,-102.462,
CKB7,51.2344,-101.393,
CJE7,51.1586,-98.3319,
UARR,51.1508,51.5431,
CJM2,51.1461,-103.426,
CJR4,51.1442,-108.763,
CYRL,51.0669,-93.7931,
CJC2,51.0561,-105.838,
CKV6,51.0167,-101.817,
CJV9,50.9414,-102.738,
CYEA,50.9333,-110.013,
CJU6,50.9128,-97.3044,
CFY4,50.9048,-113.7962,
CED6,50.8019,-113.889,
CJR8,50.7647,-99.4967,
CKL9,50.7528,-104.979,
CKF9,50.7175,-90.6836,
